Patient	Clusters	F	numCc	Num_Samp	Num_MSS_subclones	Num_MSIH_subclones	Tot_subclones
mix_2_38	6	274.5109	453	0	0	0	23
mix_3_48	5	552.03	438	0	0	0	29
mix_3_49	6	346.9431	438	0	0	0	23
mix_3_65	6	371.7976	438	0	12	1	27
mix_3_92	6	248.4182	438	0	0	0	24
mix_4_25	5	390.4726	422	0	10	1	28
mix_4_30	6	394.1381	422	0	0	0	30
mix_4_56	6	386.4789	422	0	9	1	25
mix_5_20	5	465.0106	407	0	10	1	29
mix_5_36	6	366.8997	407	0	0	0	27
mix_5_42	6	403.453	407	0	10	1	29
mix_5_46	6	362.1207	407	0	9	1	29
mix_5_55	5	387.1051	407	0	9	1	30
mix_5_95	5	548.7686	407	0	0	0	25
mix_5_96	6	330.6373	407	0	10	1	32
mix_6_29	6	280.8221	390	0	8	1	30
mix_6_40	5	388.6754	390	0	9	1	32
mix_6_58	5	335.9895	390	0	7	1	28
mix_6_82	6	345.067	390	0	6	1	19
mix_8_33	8	106.7446	359	0	4	1	30
mix_8_46	5	195.5733	359	0	3	1	28
mix_8_63	4	272.7591	359	0	4	1	26
mix_9_93	6	82.4547	343	0	9	1	18
