Patient	Clusters	F	numCc	Num_Samp	Num_MSS_subclones	Num_MSIH_subclones	Tot_subclones
mix_1_10	6	8.0707	441	0	0	0	13
mix_1_1	6	8.6779	428	0	0	0	15
mix_1_2	6	8.2387	430	0	0	0	15
mix_1_3	5	8.549	451	0	0	0	16
mix_1_4	5	11.3548	402	0	0	0	12
mix_1_5	6	8.2435	445	0	0	0	12
mix_1_6	6	9.1673	449	0	0	0	13
mix_1_7	5	11.418	430	0	0	0	14
mix_1_8	6	9.3001	425	0	0	0	13
mix_1_9	6	6.6698	429	0	0	0	12
mix_2_10	6	265.7276	429	0	11	1	12
mix_2_1	6	6.4678	364	0	0	0	13
mix_2_2	5	8.7784	399	0	0	0	12
mix_2_3	5	8.2963	397	0	0	0	13
mix_2_4	5	8.4234	369	0	0	0	12
mix_2_5	6	157.3257	407	0	0	0	14
mix_2_6	5	8.729	394	0	0	0	11
mix_2_7	6	421.4318	450	0	14	1	15
mix_2_8	6	250.0944	477	0	16	1	17
mix_2_9	5	7.597	378	0	0	0	13
mix_3_10	6	252.3091	372	0	11	1	12
mix_3_1	4	10.0348	339	0	0	0	10
mix_3_2	5	6.4494	335	0	0	0	11
mix_3_3	6	89.5096	354	0	12	1	13
mix_3_4	4	9.6117	325	0	0	0	10
mix_3_5	5	8.1626	325	0	0	0	12
mix_3_6	5	8.2786	328	0	0	0	10
mix_3_7	6	269.6464	333	0	11	1	12
mix_3_8	5	10.7484	337	0	0	0	10
mix_3_9	6	7.1868	336	0	0	0	11
mix_4_10	4	10.408	284	0	0	0	9
mix_4_1	4	6.6453	280	0	0	0	9
mix_4_2	6	370.3425	374	0	8	1	9
mix_4_3	4	10.8063	298	0	11	1	12
mix_4_4	4	7.4917	302	0	0	0	10
mix_4_5	5	473.268	340	0	10	1	11
mix_4_6	6	5.829	268	0	0	0	9
mix_4_7	5	5.7659	278	0	0	0	10
mix_4_8	4	11.1494	294	0	0	0	11
mix_4_9	6	227.0231	409	0	8	1	9
mix_5_10	5	496.8816	272	0	7	1	8
mix_5_1	5	197.9813	249	0	8	1	9
mix_5_2	5	438.5287	363	0	10	1	11
mix_5_3	6	295.2439	330	0	8	1	9
mix_5_4	4	7.3235	244	0	0	0	7
mix_5_5	5	370.4619	339	0	9	1	10
mix_5_6	5	6.1343	240	0	0	0	8
mix_5_7	4	6.6291	236	0	0	0	9
mix_5_8	5	444.3253	401	0	10	1	11
mix_5_9	5	279.3837	391	0	10	1	11
mix_6_10	4	578.7471	227	0	7	1	8
mix_6_1	4	509.5234	230	0	6	1	7
mix_6_2	6	286.8774	365	0	9	1	10
mix_6_3	5	316.8582	344	0	6	1	7
mix_6_4	4	8.8332	193	0	0	0	7
mix_6_5	4	8.3571	184	0	0	0	7
mix_6_6	4	833.3036	240	0	7	1	8
mix_6_7	5	285.3528	390	0	8	1	9
mix_6_8	4	9.4929	183	0	0	0	5
mix_6_9	5	3.617	177	0	0	0	6
mix_7_10	5	202.2519	392	0	7	1	8
mix_7_1	4	628.0643	191	0	4	1	5
mix_7_2	4	455.21	188	0	5	1	6
mix_7_3	4	351.3833	181	0	6	1	7
mix_7_4	6	185.924	376	0	7	1	8
mix_7_5	4	812.6022	192	0	6	1	7
mix_7_6	3	804.7805	185	0	6	1	7
mix_7_7	5	180.0987	356	0	9	1	10
mix_7_8	6	226.2816	385	0	8	1	9
mix_7_9	3	4.3693	138	0	0	0	5
mix_8_10	5	141.9541	340	0	9	1	10
mix_8_1	4	236.7141	226	0	5	1	6
mix_8_2	3	609.0533	148	0	4	1	5
mix_8_3	5	190.4095	367	0	7	1	8
mix_8_4	3	741.4934	147	0	4	1	5
mix_8_5	3	738.8879	166	0	3	1	4
mix_8_6	3	1043.8621	159	0	3	1	4
mix_8_7	5	168.3186	356	0	8	1	9
mix_8_8	4	306.0094	181	0	4	1	5
mix_8_9	4	182.6593	353	0	9	1	10
mix_9_10	5	71.8169	341	0	9	1	10
mix_9_1	5	100.547	344	0	9	1	10
mix_9_2	6	74.5876	338	0	9	1	10
mix_9_3	6	88.6413	331	0	9	1	10
mix_9_4	6	76.5228	315	0	9	1	10
mix_9_5	7	68.4138	358	0	8	1	9
mix_9_6	6	72.4929	338	0	9	1	10
mix_9_7	5	85.4607	261	0	8	1	9
mix_9_8	5	87.2819	367	0	11	1	12
mix_9_9	5	78.9906	344	0	11	1	12
